Speed,HPR,HPA,HPA_cont,Vtip,Xflat,HPA_EMRAX_cont_d,HPA_EMRAX_cont,HPA_Nacelle_cont_d,HPA_Nacelle_cont,HPA_EMRAX_30_d,HPA_Nacelle_30_d,HPI,HPPr
0,811.4892838,880,731.03,574,0,-87.48949818,585.0751587,-80.45928378,731.03,58.7792915,68.51071622,699.4728895,101.536411
5,789.7990863,880,731.03,574,26.7895111,-68.67359314,585.0751587,-58.76908633,731.03,77.59519654,90.20091367,678.4331395,100.8859636
10,771.289242,880,731.03,574,26.7621075,-52.64403363,585.0751587,-40.25924203,731.03,93.62475605,108.710758,660.5856916,100.2235672
15,742.5121209,880,731.03,574,26.72860534,-27.52589037,585.0751587,-11.48212089,731.03,118.7428993,137.4878791,632.5969816,99.43326881
20,707.0150947,880,731.03,574,26.69539485,3.849714348,585.0751587,24.01490525,731.03,150.118504,172.9849053,597.7801562,98.76058869
25,666.3533259,880,731.03,574,26.66994428,39.77183129,585.0751587,64.67667408,731.03,186.040621,213.6466741,557.6830077,98.20703409
30,625.7948003,880,731.03,574,26.66049213,76.26859248,585.0751587,105.2351997,731.03,222.5373822,254.2051997,517.3291776,98.01458038
35,589.1751919,880,731.03,574,26.67662988,109.9187344,585.0751587,141.8548081,731.03,256.187524,290.8248081,480.2965189,98.43923529
40,558.6912828,880,731.03,574,26.72943128,138.3403899,585.0751587,172.3387172,731.03,284.6091796,321.3087172,448.682295,99.58001892
41,553.4055408,880,731.03,574,26.74548387,143.2208384,585.0751587,177.6244592,731.03,289.4896281,326.5944592,443.1215873,99.85688136
42,548.4104553,880,731.03,574,26.76361177,147.8201051,585.0751587,182.6195447,731.03,294.0888947,331.5895447,437.8345913,100.1506078
43,543.8607341,880,731.03,574,26.78392651,152.1901294,585.0751587,187.1692659,731.03,298.4589191,336.1392659,432.9440774,100.489147
44,539.8955312,880,731.03,574,26.80655918,156.1998912,585.0751587,191.1344688,731.03,302.4686809,340.1044688,428.5414783,100.9239942
45,536.3049978,880,731.03,574,26.83160968,159.9690828,585.0751587,194.7250022,731.03,306.2378725,343.6950022,424.471841,101.4007779
46,532.9791571,880,731.03,574,26.85921381,163.4474207,585.0751587,198.0508429,731.03,309.7162104,347.0208429,420.6528824,101.891736
47,529.8647564,880,731.03,574,26.88949272,166.6933574,585.0751587,201.1652436,731.03,312.9621471,350.1352436,417.049352,102.3788339
48,527.0226585,880,731.03,574,26.92257458,169.6460287,585.0751587,204.0073415,731.03,315.9148184,352.9773415,413.700658,102.8835677
49,524.4592022,880,731.03,574,26.95859632,172.3015082,585.0751587,206.5707978,731.03,318.5702979,355.5407978,410.6065982,103.4124849
50,521.4506508,880,731.03,574,26.9975514,175.4087757,585.0751587,209.5793492,731.03,321.6775654,358.5493492,407.064728,103.9438163
51,519.3625025,880,731.03,574,27.03980066,177.5595693,585.0751587,211.6674975,731.03,323.828359,360.6374975,404.4301051,104.4889062
52,517.5020128,880,731.03,574,27.08540014,179.4718371,585.0751587,213.5279872,731.03,325.7406268,362.4979872,402.0268767,105.0304074
53,515.8673516,880,731.03,574,27.13447029,181.1488607,585.0751587,215.1626484,731.03,327.4176504,364.1326484,399.8570602,105.5644726
54,514.5072582,880,731.03,574,27.18055646,182.541975,585.0751587,216.5227418,731.03,328.8107646,365.4927418,397.9463432,106.1141871
55,513.505053,880,731.03,574,27.23608674,183.5672209,585.0751587,217.524947,731.03,329.8360106,366.494947,396.3553531,106.7023007
56,512.6190358,880,731.03,574,27.2954209,184.4726968,585.0751587,218.4109642,731.03,330.7414865,367.3809642,394.92939,107.2416524
57,512.0771808,880,731.03,574,27.35869579,185.0260313,585.0751587,218.9528192,731.03,331.294821,367.9228192,393.8140931,107.8147305
58,511.7647604,880,731.03,574,27.42604704,185.3449256,585.0751587,219.2652396,731.03,331.6137152,368.2352396,392.9403957,108.3757975
59,511.7469427,880,731.03,574,27.49760194,185.3631092,585.0751587,219.2830573,731.03,331.6318989,368.2530573,392.3470543,108.9513093
60,511.967266,880,731.03,574,27.57350188,185.1382357,585.0751587,219.062734,731.03,331.4070254,368.032734,392.0002738,109.5185612
65,516.9919341,880,731.03,574,28.02321519,179.9954485,585.0751587,214.0380659,731.03,326.2642382,363.0080659,394.1552012,112.3916643
70,528.8944763,880,731.03,574,28.60218557,167.7023997,585.0751587,202.1355237,731.03,313.9711893,351.1055237,403.006654,115.450617
75,548.6047106,880,731.03,574,29.32460467,147.6414749,585.0751587,182.4252894,731.03,293.9102646,331.3952894,419.2441014,118.9352819
80,579.6483994,880,731.03,574,30.19909951,118.8517847,585.0751587,151.3816006,731.03,265.1205744,300.3516006,445.5337291,123.678422
85,620.7033501,880,731.03,574,31.22346628,80.82208458,585.0751587,110.3266499,731.03,227.0908743,259.2966499,480.5792604,129.6745841
90,677.076257,880,731.03,574,32.38115244,30.08703013,585.0751587,53.95374296,731.03,176.3558198,202.923743,528.3701298,138.2396067
95,762.4970764,880,731.03,574,34.45925658,-44.66193726,585.0751587,-31.46707642,731.03,101.6068524,117.5029236,599.8556669,152.1554319
100,862.6336732,880,731.03,574,35.90097297,-131.1777611,585.0751587,-131.6036732,731.03,15.09102862,17.36632677,680.1561423,171.9848104
105,988.4914145,880,731.03,574,37.10668835,-237.2403005,585.0751587,-257.4614145,731.03,-90.97151083,-108.4914145,775.4635303,202.4912743
110,1146.649652,880,731.03,574,37.98746013,-366.2623559,585.0751587,-415.6196524,731.03,-219.9935663,-266.6496524,886.2051321,249.8550075
